gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2024020137,2024-10-27,54.96666666666667,1.0333333333333334,4,37,0,2,20,1,3,24,0,0,20,0,0,0,0,0,12,1,0,9,0,0,11,0,0,61,2,0,37,0,11,48,2,0,28,0,8,32,2,0,20,0,6,5,1,0,2,0,0,5,1,0,2,0,0,4,1,0,2,0,0,5,0,0,0,0,0,4,0,0,2,0,1,4,0,0,2,0,1
2024020159,2024-10-30,49.2,2.8,8,27,1,0,23,1,5,20,0,0,39,2,2,6,0,2,13,2,0,11,0,0,15,0,0,49,4,2,42,1,11,35,2,2,33,0,5,18,2,2,17,0,3,4,1,1,0,0,0,4,1,1,0,0,0,2,1,0,0,0,0,3,1,0,2,0,0,3,0,0,2,0,0,3,0,0,2,0,0
2024020173,2024-11-01,46,6,8,26,3,3,27,3,4,21,0,1,27,2,1,4,1,0,16,2,1,11,0,2,23,0,2,39,8,2,46,1,12,22,6,1,35,1,6,16,6,0,27,1,4,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,7,0,0,2,1,0,4,0,2,2,1,0,4,0,2
2024020193,2024-11-04,57.53333333333333,0.4666666666666667,2,23,0,1,22,1,0,22,0,1,5,0,0,5,0,0,12,0,0,4,0,0,4,0,0,29,1,1,57,0,3,19,1,1,42,0,3,14,1,1,28,0,3,2,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,4,0,0,9,0,1,4,0,0,9,0,1
2024020212,2024-11-07,50,6,4,20,6,1,21,2,1,22,0,0,24,1,0,3,0,0,7,3,1,6,0,0,4,0,0,43,8,1,45,2,5,30,7,0,28,2,3,22,5,0,23,1,0,5,0,0,3,0,0,4,0,0,3,0,0,2,0,0,2,0,0,8,0,0,1,0,0,2,0,0,4,0,0,2,0,0,4,0,0
2024020231,2024-11-09,59.91666666666667,2.6666666666666665,0,22,2,0,27,3,0,23,1,0,34,0,0,13,1,0,11,0,0,4,0,0,0,0,0,56,7,0,46,0,0,42,6,0,36,0,0,27,6,0,22,0,0,3,1,0,3,0,0,3,1,0,3,0,0,2,1,0,2,0,0,2,0,0,4,0,0,4,1,0,3,0,0,4,1,0,3,0,0
2024020236,2024-11-10,50,4,6,25,3,2,17,1,3,17,0,1,19,0,0,2,0,2,15,1,1,4,0,0,6,0,0,73,8,3,46,3,5,45,7,3,31,2,3,34,7,3,24,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,4,0,0,8,3,0,2,0,0,8,3,0,2,0,0
2024020246,2024-11-12,54.75,2,3.25,19,1,3,32,1,2,24,1,0,35,1,0,4,0,0,18,0,0,11,0,0,13,0,2,46,1,0,67,2,9,37,0,0,51,1,4,24,0,0,31,1,3,4,0,0,0,0,1,4,0,0,0,0,1,3,0,0,0,0,1,3,0,0,4,0,0,4,0,0,9,0,0,4,0,0,9,0,0
2024020260,2024-11-14,50.73333333333333,2.316666666666667,6.95,25,2,6,17,2,2,28,0,1,42,3,0,4,0,0,12,1,3,15,0,2,15,2,0,42,6,2,48,1,10,30,5,2,34,1,8,24,4,1,21,0,6,2,3,1,2,0,0,1,3,0,2,0,0,1,3,0,1,0,0,6,0,0,5,0,0,6,0,0,5,0,3,6,0,0,5,0,3
2024020276,2024-11-16,47.03333333333333,8,4.966666666666667,23,5,4,26,3,3,21,1,1,15,0,0,3,1,0,10,0,2,8,0,0,6,0,0,44,16,0,38,4,11,26,14,0,30,3,8,19,10,0,19,2,6,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,2,6,0,0,6,0,0,2,2,0,3,1,1,2,2,0,3,1,1
2024020309,2024-11-21,53.3,4.216666666666667,2.4833333333333334,19,4,1,20,3,3,24,1,0,12,0,0,1,0,0,12,0,0,4,2,0,4,0,0,46,14,1,57,1,5,36,11,0,34,0,3,16,5,0,19,0,3,2,2,0,1,0,1,2,2,0,1,0,1,2,2,0,1,0,1,8,0,0,2,0,0,4,3,0,8,0,0,4,3,0,8,0,0
2024020327,2024-11-23,52.266666666666666,6.233333333333333,1.5,22,6,1,22,2,0,13,0,1,17,1,0,5,0,0,8,2,1,17,0,0,9,2,0,45,16,0,74,0,3,28,14,0,43,0,3,20,13,0,25,0,1,1,2,0,1,0,1,1,2,0,1,0,0,0,2,0,1,0,0,3,0,0,4,0,0,3,2,0,8,0,0,3,2,0,8,0,0
2024020336,2024-11-25,44.36666666666667,2.6333333333333333,13,26,4,3,15,1,5,28,0,4,28,0,2,2,1,0,17,0,2,4,0,0,23,0,0,55,13,5,30,0,22,47,10,3,19,0,15,34,9,3,15,0,7,4,1,0,2,0,0,4,0,0,1,0,0,3,0,0,0,0,0,4,0,0,2,0,1,6,1,0,1,0,1,6,1,0,1,0,1
2024020348,2024-11-27,48,6,6,15,5,2,24,1,3,20,1,0,12,0,1,6,0,0,9,1,0,8,0,0,8,0,0,60,16,2,21,1,13,41,10,2,14,1,9,24,7,1,12,1,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,2,0,1,0,0,2,3,0,0,0,1,2,3,0,0,0,1
2024020365,2024-11-29,47.15,5.15,7.7,24,2,3,28,1,4,30,0,0,18,1,0,4,0,1,22,1,3,13,0,0,13,0,0,73,8,1,46,3,7,47,5,0,33,3,6,26,3,0,22,3,3,2,3,0,3,0,1,1,3,0,3,0,1,1,3,0,3,0,1,7,0,0,5,2,0,18,0,0,4,1,0,18,0,0,4,1,0
2024020379,2024-11-30,50.9,2.8833333333333333,6.216666666666667,26,4,2,26,3,5,25,0,0,5,0,0,2,0,0,16,0,0,10,0,0,12,2,0,41,9,2,49,0,14,30,8,2,39,0,10,19,7,1,25,0,7,3,2,0,3,0,3,3,2,0,3,0,3,2,2,0,3,0,2,5,0,0,2,0,0,1,1,0,4,0,2,1,1,0,4,0,2
2024020393,2024-12-02,47.733333333333334,5.866666666666666,6.4,21,4,0,26,4,6,24,0,0,21,2,2,4,0,0,17,0,1,8,2,0,10,0,0,45,10,1,54,6,23,31,8,1,35,5,13,21,7,0,25,5,9,3,2,0,0,0,1,3,2,0,0,0,1,2,2,0,0,0,1,4,0,0,3,1,0,10,0,0,5,0,2,10,0,0,5,0,2
2024020420,2024-12-06,53.35,4,2.65,21,3,1,25,0,1,28,0,0,24,0,0,4,0,0,20,2,0,4,0,0,4,0,0,60,16,0,47,0,4,43,9,0,32,0,4,29,7,0,17,0,2,3,0,0,1,0,1,2,0,0,1,0,1,2,0,0,0,0,1,6,0,0,5,0,0,3,5,0,3,0,0,3,5,0,3,0,0
2024020440,2024-12-08,50.83333333333333,5.583333333333333,3.5833333333333335,20,2,2,26,2,2,17,2,0,12,0,0,2,0,0,7,1,0,4,0,2,4,0,0,46,10,0,46,1,7,25,9,0,35,1,4,22,3,0,20,1,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,2,0,0,4,1,0,0,0,0,4,1,0,0,0,0
2024020446,2024-12-10,48.85,8,6,21,4,5,25,4,0,17,1,0,21,1,0,7,0,2,7,3,1,8,0,0,6,0,0,58,12,3,40,3,5,39,11,3,28,3,4,28,8,3,13,2,2,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,1,2,0,0,10,0,0,2,0,1,10,0,0,2,0,1
2024020461,2024-12-12,56,2,2,22,0,0,24,2,2,26,0,1,17,1,0,4,0,0,15,0,0,2,0,0,2,0,0,53,3,2,41,0,5,34,3,1,24,0,5,22,3,1,11,0,3,2,0,1,1,0,0,2,0,1,1,0,0,2,0,0,1,0,0,10,0,1,1,0,0,5,1,1,1,0,2,5,1,1,2,0,2
2024020474,2024-12-14,48,6,6,24,4,3,12,1,3,24,1,0,18,0,1,6,0,0,18,3,1,6,0,0,6,0,0,50,13,0,41,1,5,33,8,0,27,1,3,17,7,0,14,1,2,4,0,0,1,0,0,4,0,0,1,0,0,3,0,0,1,0,0,6,0,0,5,0,0,6,2,0,3,0,1,6,2,0,3,0,1
2024020501,2024-12-17,54.28333333333333,3.716666666666667,2,35,3,2,23,2,0,26,0,0,32,0,0,5,0,0,11,1,0,14,0,0,10,0,0,54,8,0,40,0,1,42,5,0,32,0,1,24,4,0,20,0,0,3,1,0,1,0,0,2,1,0,1,0,0,1,1,0,1,0,0,5,0,0,4,0,0,6,2,0,1,0,0,6,2,0,1,0,0
2024020514,2024-12-19,54.78333333333333,2,3.216666666666667,27,1,1,26,2,2,19,0,0,15,0,0,7,1,0,20,1,1,2,0,0,4,0,0,95,2,0,36,0,7,67,2,0,28,0,5,40,2,0,18,0,2,2,0,0,3,0,1,2,0,0,2,0,1,2,0,0,2,0,1,7,0,0,4,0,0,12,0,0,3,0,1,12,0,0,3,0,1
2024020534,2024-12-21,54,2,4,23,0,4,21,3,1,22,0,0,9,0,0,2,0,2,14,1,0,12,0,0,14,0,0,62,2,0,41,1,2,47,2,0,27,0,2,26,1,0,10,0,2,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,7,0,0,7,1,0,3,0,0,7,1,0,3,0,0
2024020545,2024-12-23,46.35,5.65,8,13,3,2,19,1,2,15,0,1,21,2,3,5,0,0,15,1,1,24,0,0,24,0,0,42,11,3,35,2,9,33,10,3,24,2,7,19,8,3,7,2,3,2,3,0,0,0,0,2,3,0,0,0,0,2,3,0,0,0,0,2,0,0,4,0,1,6,2,0,5,0,2,5,2,1,5,0,2
2024020560,2024-12-27,56,0,4,26,0,4,20,0,1,20,0,0,23,0,1,4,0,0,12,0,0,2,0,0,6,0,0,47,0,1,60,0,10,36,0,1,45,0,8,22,0,1,28,0,3,4,0,0,2,0,0,4,0,0,2,0,0,4,0,0,1,0,0,4,0,0,5,0,0,6,0,0,6,0,0,6,0,0,6,0,0
2024020573,2024-12-28,49,4,7,19,1,3,28,3,5,33,5,3,39,0,2,3,0,1,14,0,0,8,0,0,21,0,0,38,4,3,61,2,9,27,3,3,49,2,8,19,2,2,33,2,6,2,0,0,4,0,1,1,0,0,4,0,1,1,0,0,3,0,1,4,0,0,4,0,1,2,0,2,6,0,0,2,0,2,6,0,0
2024020598,2024-12-31,50,4,6,30,2,5,25,3,3,23,1,1,17,1,0,6,0,0,5,0,2,10,0,0,12,0,0,62,13,0,37,2,10,44,9,0,29,1,7,26,8,0,21,0,5,2,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,10,0,0,1,0,0,4,2,0,4,0,0,4,2,0,4,0,0
2024020602,2025-01-01,45.916666666666664,9.35,4.733333333333333,25,7,3,16,3,2,23,0,0,14,1,0,1,1,1,7,1,0,10,0,2,6,0,0,51,19,0,43,0,7,34,15,0,30,0,6,23,10,0,21,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,1,0,3,0,0,3,4,0,6,0,4,3,4,0,6,0,4
2024020622,2025-01-04,49.41666666666667,3.183333333333333,7.4,31,2,3,21,2,4,20,1,0,15,1,0,3,0,0,8,2,0,2,0,2,8,0,0,50,9,2,43,0,9,32,7,2,35,0,5,24,4,2,22,0,2,1,1,0,3,0,0,1,1,0,3,0,0,0,1,0,2,0,0,4,0,0,1,0,0,7,0,0,5,0,0,7,0,0,5,0,0
2024020640,2025-01-06,58.46666666666667,0,1.5333333333333334,30,0,0,24,0,3,11,0,1,21,0,0,3,0,0,7,0,0,5,0,0,7,0,0,65,0,0,50,0,2,49,0,0,36,0,2,29,0,0,22,0,2,3,0,0,1,0,1,3,0,0,1,0,1,3,0,0,0,0,1,4,0,0,1,0,0,5,0,0,4,0,0,5,0,0,4,0,0
2024020656,2025-01-09,53.333333333333336,6.916666666666667,2.55,16,1,0,22,4,4,25,0,2,32,1,0,3,1,1,21,4,0,6,0,2,6,0,0,49,10,2,54,2,7,30,8,2,39,2,6,17,4,2,25,1,6,2,0,0,1,0,2,2,0,0,1,0,2,2,0,0,0,0,1,4,0,1,5,0,0,3,2,0,7,0,3,3,2,0,7,0,3
2024020674,2025-01-11,53.733333333333334,3.5833333333333335,6,22,3,1,25,1,5,27,0,0,14,0,0,1,0,0,19,0,1,4,0,0,6,0,0,49,9,0,49,0,9,35,9,0,29,0,7,20,6,0,21,0,4,2,1,0,2,0,0,1,1,0,2,0,0,1,1,0,1,0,0,3,0,0,10,0,1,3,0,0,4,0,3,3,0,0,4,0,3
2024020695,2025-01-14,59,4,2,27,1,3,35,2,0,28,2,0,40,2,0,6,1,0,11,0,0,6,0,0,4,0,0,50,5,0,63,1,2,37,3,0,44,1,0,24,3,0,27,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,1,0,5,0,0,4,1,0,4,0,0,4,1,0,4,0,0
2024020707,2025-01-16,57.81666666666666,2.65,0.7,31,2,0,33,1,2,14,0,0,25,0,0,2,0,0,15,0,0,4,0,2,4,0,0,39,11,1,73,0,3,25,8,1,52,0,3,16,7,1,39,0,2,1,2,0,3,0,1,1,2,0,3,0,1,0,2,0,3,0,1,2,0,0,5,0,0,2,3,0,3,0,1,2,3,0,3,0,1
2024020722,2025-01-18,53.55,4,2.45,17,2,2,20,1,1,18,0,0,9,0,1,4,0,0,20,1,0,4,0,0,4,0,0,54,8,0,56,1,2,17,7,0,32,0,2,10,3,0,16,0,2,1,0,0,2,0,1,1,0,0,2,0,1,1,0,0,1,0,1,3,0,0,8,1,0,4,2,0,14,0,0,4,2,0,14,0,0
2024020737,2025-01-19,52,2,6,20,1,2,18,1,1,17,0,1,23,1,0,3,2,0,13,0,0,2,0,0,6,0,0,49,5,2,41,0,5,36,3,1,29,0,4,22,3,1,19,0,1,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,3,1,0,4,0,0,7,1,0,0,0,0,7,1,0,0,0,0
2024020758,2025-01-22,46.21666666666666,8.583333333333334,5.2,20,6,1,21,3,3,11,0,0,11,0,0,3,0,0,11,1,0,14,0,0,4,2,0,44,14,2,40,3,7,28,11,2,25,3,4,23,9,2,17,3,3,2,3,0,1,0,0,2,3,0,1,0,0,1,2,0,1,0,0,2,1,0,5,0,0,5,2,1,3,1,3,5,2,1,3,1,3
2024020779,2025-01-25,60.099999999999994,2,2,33,4,3,35,1,0,17,0,0,20,0,0,3,0,0,12,0,0,2,0,0,2,0,0,88,7,0,68,0,1,58,3,0,45,0,0,41,3,0,32,0,0,4,0,0,3,0,0,4,0,0,3,0,0,3,0,0,3,0,0,8,0,0,2,0,0,14,0,0,8,0,0,14,0,0,8,0,0
2024020795,2025-01-27,51.9,6,2.1,16,1,2,24,5,2,19,1,0,24,1,0,7,0,0,15,0,0,8,0,0,6,0,0,64,6,2,38,2,4,34,4,1,27,2,2,28,4,1,22,2,2,2,0,0,3,0,1,1,0,0,3,0,1,1,0,0,1,0,1,2,1,0,7,0,0,4,0,0,3,0,0,4,0,0,3,0,0
2024020809,2025-01-29,48.8,5.2,6,21,2,4,23,5,2,19,2,1,10,1,0,1,0,0,13,4,0,14,0,2,16,0,0,49,11,3,44,2,7,30,5,3,32,2,5,20,4,2,20,1,3,3,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,0,0,5,0,0,6,3,0,9,0,1,6,3,0,9,0,1
2024020835,2025-02-02,43.16666666666667,7.916666666666667,8.916666666666666,14,2,1,17,7,3,28,3,4,23,2,0,3,0,1,8,0,1,10,0,0,17,4,0,52,12,2,47,4,16,35,7,1,39,3,11,19,4,1,23,3,8,2,0,1,3,1,0,2,0,1,3,1,0,1,0,0,3,1,0,11,0,0,4,1,2,6,0,0,5,0,3,6,0,0,5,0,3
2024020848,2025-02-04,56.866666666666674,4.066666666666666,4.066666666666666,16,1,3,30,2,2,19,1,1,18,0,1,5,0,0,14,0,2,10,0,0,8,2,0,47,5,1,47,2,9,25,5,1,38,1,8,18,2,1,20,1,6,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,0,0,6,0,0,3,0,0,3,0,0,3,0,2,3,0,0,3,0,2
2024020863,2025-02-06,49.833333333333336,0.16666666666666666,10,25,1,3,24,0,3,20,0,2,10,0,0,0,0,0,14,0,0,2,0,0,10,0,0,35,2,2,56,0,14,25,1,2,45,0,10,13,1,1,33,0,7,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,2,0,0,5,0,0,2,0,1,1,0,0,9,0,1,1,0,0,9,0,1
2024020876,2025-02-08,52,4,4,20,0,3,31,3,2,20,0,0,26,0,0,6,0,0,17,1,0,4,0,0,4,0,0,42,7,2,62,1,5,33,3,1,48,1,4,20,1,1,31,1,2,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,2,0,0,8,0,1,2,0,0,3,0,1,2,0,0,3,0,1
2024020897,2025-02-22,50.31666666666666,5.433333333333334,4.25,27,6,0,24,1,4,28,0,2,12,1,0,3,0,0,10,1,0,8,0,0,6,0,0,67,13,1,43,1,7,44,12,1,31,1,5,23,9,1,23,1,2,1,1,0,2,1,1,1,1,0,2,0,1,1,1,0,1,0,1,10,0,0,4,0,0,10,1,0,8,0,0,10,1,0,8,0,0
2024020911,2025-02-23,50.86666666666667,1.1333333333333333,8,26,0,2,33,1,7,36,0,3,21,0,0,6,0,0,16,1,1,2,0,0,8,0,0,46,4,2,64,0,20,40,4,2,39,0,14,32,2,2,22,0,7,4,1,0,0,0,0,4,1,0,0,0,0,3,1,0,0,0,0,4,0,0,7,0,1,2,1,0,7,0,3,2,1,0,7,0,3
2024020931,2025-02-26,51.13333333333333,4,4.866666666666666,33,1,0,30,2,4,21,0,1,16,0,0,3,0,0,18,1,0,4,0,0,6,0,2,43,7,1,60,2,12,30,5,0,50,2,10,22,1,0,30,2,5,1,0,0,3,0,2,1,0,0,3,0,2,0,0,0,3,0,2,4,0,0,9,0,1,1,0,0,4,0,2,1,0,0,4,0,2
2024020958,2025-03-01,52.2,4,3.8,24,1,5,23,1,1,18,0,0,18,0,0,3,0,0,8,2,0,9,0,0,9,0,0,58,2,1,56,0,6,37,2,1,42,0,4,27,2,0,24,0,1,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,7,0,0,2,0,0,8,0,0,8,0,0,8,0,0,8,0,0
2024020966,2025-03-02,54.35,2,3.65,23,0,3,20,1,4,23,0,0,20,0,0,2,0,0,17,1,0,2,0,0,6,0,2,45,3,4,50,1,5,36,2,4,39,1,4,20,2,3,20,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,3,0,0,3,0,1,1,0,0,3,0,1,1,0,0
2024020979,2025-03-04,50.75,0.6166666666666667,8.633333333333333,19,2,6,32,0,3,36,0,1,12,0,0,3,0,0,17,0,2,4,0,0,8,0,2,50,2,2,30,0,13,42,2,2,21,0,9,25,2,1,16,0,5,1,2,0,3,0,1,1,2,0,2,0,1,1,2,0,2,0,1,6,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2024020997,2025-03-07,52.1,4,3.9,25,1,2,21,1,1,30,0,2,22,1,0,0,1,0,14,0,0,4,0,0,4,0,0,52,7,1,46,1,5,34,4,1,38,1,5,22,0,1,30,1,4,1,0,0,5,0,1,1,0,0,4,0,1,1,0,0,4,0,1,6,0,0,3,0,0,9,0,0,2,0,1,9,0,0,2,0,1
2024021013,2025-03-09,56.8,1.2,2,23,2,0,16,1,2,21,0,0,27,1,0,5,1,0,25,0,0,2,0,0,2,0,0,47,1,1,53,0,2,32,1,1,37,0,2,22,1,0,23,0,1,2,1,0,1,0,0,2,1,0,1,0,0,2,1,0,1,0,0,4,0,0,7,0,0,5,0,0,1,0,0,5,0,0,1,0,0
2024021026,2025-03-11,48.58333333333333,6.216666666666667,5.2,18,4,1,22,2,3,16,0,0,27,0,0,2,0,0,10,1,0,8,0,2,6,0,0,40,13,1,40,2,8,28,10,1,30,1,5,24,4,0,18,1,1,4,1,0,3,0,0,3,1,0,3,0,0,2,1,0,2,0,0,3,0,0,5,0,0,2,3,0,1,0,1,2,3,0,1,0,1
2024021042,2025-03-13,52,6,2,21,5,1,25,2,1,12,1,0,20,0,0,3,0,0,10,4,0,6,0,0,2,0,0,50,7,0,54,2,4,35,4,0,42,2,4,19,3,0,29,2,2,3,0,0,2,0,0,3,0,0,2,0,0,3,0,0,2,0,0,4,0,0,1,0,0,7,1,0,9,0,1,7,1,0,9,0,1
2024021056,2025-03-15,44.916666666666664,9.216666666666667,5.866666666666666,18,3,6,26,5,2,20,2,1,19,3,0,2,0,0,17,2,1,12,0,0,6,0,0,39,20,1,42,1,5,27,15,1,32,1,5,16,10,1,18,1,5,1,2,0,6,0,1,1,2,0,5,0,1,1,2,0,3,0,1,3,1,0,6,0,0,1,1,0,4,0,1,1,1,0,4,0,1
2024021075,2025-03-17,56,2,2,28,1,0,32,0,2,15,0,0,24,1,0,2,0,1,16,2,1,2,0,0,2,0,0,39,4,0,84,1,3,27,2,0,56,1,3,19,1,0,43,1,2,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,5,0,1,4,1,0,6,0,1,4,1,0,6,0,1
2024021090,2025-03-20,47.68333333333334,4,8.316666666666666,20,4,4,20,3,3,17,2,1,16,0,1,3,0,0,16,0,1,4,0,0,10,0,0,40,10,3,59,1,15,29,7,3,44,0,5,22,5,2,26,0,2,3,0,0,4,0,1,3,0,0,2,0,1,2,0,0,2,0,1,2,0,0,5,0,1,2,1,0,6,0,1,2,1,0,6,0,1
2024021113,2025-03-22,50.21666666666667,4.966666666666667,4.816666666666666,25,3,1,16,4,2,27,1,1,18,0,0,1,1,0,14,1,1,6,0,0,4,2,0,51,7,1,30,1,9,35,4,1,19,1,7,23,3,1,13,1,5,1,1,0,2,0,1,1,1,0,2,0,1,1,1,0,2,0,1,6,0,0,2,1,1,9,0,0,3,0,0,9,0,0,3,0,0
